"Timestamp"	"Prolific_ID"	"Consent"	"cond"	"response"	"Normal_Utt"	"Normal_Utt_latinized"	"Normal_Utt_gloss"	"Specificity"
"10/13/2020 18:22:34"	"5de930a76e09cf04fffa0415"	"Я согласен/на"	"target_h1"	"Большом пальце левой руки"	"большой палец руки"	"bol'shoĭ palets ruki"	"big finger of the hand"	1
"10/13/2020 18:22:34"	"5de930a76e09cf04fffa0415"	"Я согласен/на"	"target_f1"	"Большом пальце правой ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 18:22:34"	"5de930a76e09cf04fffa0415"	"Я согласен/на"	"target_f5"	"Мизинце правой ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"10/13/2020 18:22:34"	"5de930a76e09cf04fffa0415"	"Я согласен/на"	"target_h5"	"Мизинце левой руки "	"мизинец руки"	"mizinets ruki"	"pinky of the hand"	1
"10/13/2020 18:36:40"	"5efbf6afa764021a8a158c54"	"Я согласен/на"	"target_f4"	"пальце ноги"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"10/13/2020 18:36:40"	"5efbf6afa764021a8a158c54"	"Я согласен/на"	"target_h4"	"безымянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"10/13/2020 18:36:40"	"5efbf6afa764021a8a158c54"	"Я согласен/на"	"target_h1"	"большом пальце"	"большой палец"	"bol'shoĭ palets"	"big finger"	1
"10/13/2020 18:36:40"	"5efbf6afa764021a8a158c54"	"Я согласен/на"	"target_f1"	"большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 18:36:40"	"5efbf6afa764021a8a158c54"	"Я согласен/на"	"target_f5"	"мизинце ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"10/13/2020 18:36:40"	"5efbf6afa764021a8a158c54"	"Я согласен/на"	"target_h5"	"мизинце"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 18:51:10"	"5f7700aef640201bfb61524e"	"Я согласен/на"	"target_f4"	"безымянном пальце ноги."	"безымянный палец ноги"	"bezymyannyĭ palets nogi"	"ring finger of the leg"	1
"10/13/2020 18:51:10"	"5f7700aef640201bfb61524e"	"Я согласен/на"	"target_h4"	"безымянном пальце руки."	"безымянный палец руки"	"bezymyannyĭ palets ruki"	"nameless finger of the hand"	1
"10/13/2020 18:51:10"	"5f7700aef640201bfb61524e"	"Я согласен/на"	"target_h1"	"проксимальной фаланге руки."	"проксимальная фаланга руки"	"proximal'naia falanga ruki"	"proximal phalange of the hand"	1
"10/13/2020 18:51:10"	"5f7700aef640201bfb61524e"	"Я согласен/на"	"target_f1"	"проксимальной фаланге большого пальца ноги."	"проксимальная фаланга ноги"	"proximal'naia falanga nogi"	"proximal phalange of the leg"	1
"10/13/2020 18:51:10"	"5f7700aef640201bfb61524e"	"Я согласен/на"	"target_f5"	"мизинце ноги."	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"10/13/2020 18:51:10"	"5f7700aef640201bfb61524e"	"Я согласен/на"	"target_h5"	"мизинце."	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 18:51:53"	"5d2c809ea0580000194a22b2"	"Я согласен/на"	"target_f4"	"bezumyannii palets na stypne"	"безымянный палец ступни"	"bezymyannyĭ palets na stupne"	"ring finger of the foot"	1
"10/13/2020 18:51:53"	"5d2c809ea0580000194a22b2"	"Я согласен/на"	"target_h4"	"bezumyannom paltse"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"10/13/2020 18:51:53"	"5d2c809ea0580000194a22b2"	"Я согласен/на"	"target_h1"	"bolshom paltse ryki"	"большой палец руки"	"bol'shoĭ palets ruki"	"big finger of the hand"	1
"10/13/2020 18:51:53"	"5d2c809ea0580000194a22b2"	"Я согласен/на"	"target_f1"	"bolshom paltse"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
